src_ip,dest_ip,pkt_size,time_diff,original_class
54.192.54.208,131.202.240.150,456,0.006209135055541992,tunneled http traffic
54.192.54.208,131.202.240.150,309,0.027688026428222656,tunneled http traffic
54.192.54.208,131.202.240.150,3078,0.004586935043334961,tunneled http traffic
54.192.54.208,131.202.240.150,3509,0.0005929470062255859,tunneled http traffic
54.192.54.208,131.202.240.150,1351,0.004125118255615234,tunneled http traffic
54.192.54.208,131.202.240.150,1623,0.015336990356445312,tunneled http traffic
54.192.54.208,131.202.240.150,877,0.032266855239868164,tunneled http traffic
54.192.54.208,131.202.240.150,1883,0.1835629940032959,tunneled http traffic
54.192.54.208,131.202.240.150,2311,1.5783970355987549,tunneled http traffic
54.192.54.208,131.202.240.150,1727,0.4845430850982666,tunneled http traffic
